value,value,date
30.358059,30.358059,2017-01-01 06:20:00
30.358042,30.358042,2017-01-01 06:21:00
30.358023,30.358023,2017-01-01 06:22:00
30.358162,30.358162,2017-01-01 06:23:00
30.358004,30.358004,2017-01-01 06:24:00
30.358145,30.358145,2017-01-01 06:25:00
30.358019,30.358019,2017-01-01 06:26:00
30.358105,30.358105,2017-01-01 06:27:00
30.358063,30.358063,2017-01-01 06:28:00
30.358089,30.358089,2017-01-01 06:29:00
30.358059,30.358059,2017-01-01 06:30:00
30.358114,30.358114,2017-01-01 06:31:00
30.358057,30.358057,2017-01-01 06:32:00
30.358093,30.358093,2017-01-01 06:33:00
30.35803,30.35803,2017-01-01 06:34:00
30.358145,30.358145,2017-01-01 06:35:00
30.358067,30.358067,2017-01-01 06:36:00
30.358139,30.358139,2017-01-01 06:37:00
30.358040000000006,30.358040000000006,2017-01-01 06:38:00
30.358114,30.358114,2017-01-01 06:39:00
30.358046,30.358046,2017-01-01 06:40:00
30.35812,30.35812,2017-01-01 06:41:00
30.358034000000004,30.358034000000004,2017-01-01 06:42:00
30.358147,30.358147,2017-01-01 06:43:00
30.358011,30.358011,2017-01-01 06:44:00
30.358086,30.358086,2017-01-01 06:45:00
30.358086,30.358086,2017-01-01 06:46:00
30.358103000000003,30.358103000000003,2017-01-01 06:47:00
30.358036,30.358036,2017-01-01 06:48:00
30.358168,30.358168,2017-01-01 06:49:00
30.358007,30.358007,2017-01-01 06:50:00
30.358091,30.358091,2017-01-01 06:51:00
30.358044,30.358044,2017-01-01 06:52:00
30.358057,30.358057,2017-01-01 06:53:00
30.358034000000004,30.358034000000004,2017-01-01 06:54:00
30.358053,30.358053,2017-01-01 06:55:00
30.358101,30.358101,2017-01-01 06:56:00
30.358065000000003,30.358065000000003,2017-01-01 06:57:00
30.358076,30.358076,2017-01-01 06:58:00
30.358044,30.358044,2017-01-01 06:59:00
31.372873,31.372873,2017-01-01 07:00:00
31.372852,31.372852,2017-01-01 07:01:00
31.372835,31.372835,2017-01-01 07:02:00
31.372877000000006,31.372877000000006,2017-01-01 07:03:00
31.372843,31.372843,2017-01-01 07:04:00
31.372858,31.372858,2017-01-01 07:05:00
31.372786,31.372786,2017-01-01 07:06:00
31.372894,31.372894,2017-01-01 07:07:00
31.37286,31.37286,2017-01-01 07:08:00
31.372877000000006,31.372877000000006,2017-01-01 07:09:00
31.372814,31.372814,2017-01-01 07:10:00
31.3729,31.3729,2017-01-01 07:11:00
31.372805,31.372805,2017-01-01 07:12:00
31.372889,31.372889,2017-01-01 07:13:00
31.372902000000003,31.372902000000003,2017-01-01 07:14:00
31.372849,31.372849,2017-01-01 07:15:00
31.372822,31.372822,2017-01-01 07:16:00
31.372847,31.372847,2017-01-01 07:17:00
31.372843,31.372843,2017-01-01 07:18:00
31.372913,31.372913,2017-01-01 07:19:00
31.372801000000006,31.372801000000006,2017-01-01 07:20:00
31.37286,31.37286,2017-01-01 07:21:00
31.372847,31.372847,2017-01-01 07:22:00
31.372856,31.372856,2017-01-01 07:23:00
31.372835,31.372835,2017-01-01 07:24:00
31.372866,31.372866,2017-01-01 07:25:00
31.372835,31.372835,2017-01-01 07:26:00
31.372835,31.372835,2017-01-01 07:27:00
31.372786,31.372786,2017-01-01 07:28:00
31.372852,31.372852,2017-01-01 07:29:00
31.372795,31.372795,2017-01-01 07:30:00
31.372841,31.372841,2017-01-01 07:31:00
31.372892,31.372892,2017-01-01 07:32:00
31.372854,31.372854,2017-01-01 07:33:00
31.372789,31.372789,2017-01-01 07:34:00
31.372837,31.372837,2017-01-01 07:35:00
31.372824,31.372824,2017-01-01 07:36:00
31.372833,31.372833,2017-01-01 07:37:00
31.372828,31.372828,2017-01-01 07:38:00
31.372879,31.372879,2017-01-01 07:39:00
31.372856,31.372856,2017-01-01 07:40:00
31.372902000000003,31.372902000000003,2017-01-01 07:41:00
31.372808000000006,31.372808000000006,2017-01-01 07:42:00
31.37289,31.37289,2017-01-01 07:43:00
31.372826,31.372826,2017-01-01 07:44:00
31.372818,31.372818,2017-01-01 07:45:00
31.372812,31.372812,2017-01-01 07:46:00
31.372862,31.372862,2017-01-01 07:47:00
31.372833,31.372833,2017-01-01 07:48:00
31.372837,31.372837,2017-01-01 07:49:00
31.372824,31.372824,2017-01-01 07:50:00
31.37286,31.37286,2017-01-01 07:51:00
31.372858,31.372858,2017-01-01 07:52:00
31.372807,31.372807,2017-01-01 07:53:00
31.372862,31.372862,2017-01-01 07:54:00
31.372868,31.372868,2017-01-01 07:55:00
31.372833,31.372833,2017-01-01 07:56:00
31.372854,31.372854,2017-01-01 07:57:00
31.372768,31.372768,2017-01-01 07:58:00
31.372875,31.372875,2017-01-01 07:59:00
32.474037,32.474037,2017-01-01 08:00:00
32.47401,32.47401,2017-01-01 08:01:00
32.474056,32.474056,2017-01-01 08:02:00
32.474026,32.474026,2017-01-01 08:03:00
32.47403,32.47403,2017-01-01 08:04:00
32.474072,32.474072,2017-01-01 08:05:00
32.47403,32.47403,2017-01-01 08:06:00
32.474033,32.474033,2017-01-01 08:07:00
32.474007,32.474007,2017-01-01 08:08:00
32.474087,32.474087,2017-01-01 08:09:00
32.474026,32.474026,2017-01-01 08:10:00
32.474052,32.474052,2017-01-01 08:11:00
32.473999,32.473999,2017-01-01 08:12:00
32.474079,32.474079,2017-01-01 08:13:00
32.474041,32.474041,2017-01-01 08:14:00
32.474026,32.474026,2017-01-01 08:15:00
32.473991,32.473991,2017-01-01 08:16:00
32.474075,32.474075,2017-01-01 08:17:00
32.474026,32.474026,2017-01-01 08:18:00
32.474079,32.474079,2017-01-01 08:19:00
32.474022,32.474022,2017-01-01 08:20:00
32.47401,32.47401,2017-01-01 08:21:00
32.474045000000004,32.474045000000004,2017-01-01 08:22:00
32.474045000000004,32.474045000000004,2017-01-01 08:23:00
32.474041,32.474041,2017-01-01 08:24:00
32.474007,32.474007,2017-01-01 08:25:00
32.474045000000004,32.474045000000004,2017-01-01 08:26:00
32.473984,32.473984,2017-01-01 08:27:00
32.474059999999994,32.474059999999994,2017-01-01 08:28:00
32.47403,32.47403,2017-01-01 08:29:00
32.474022,32.474022,2017-01-01 08:30:00
32.474003,32.474003,2017-01-01 08:31:00
32.474059999999994,32.474059999999994,2017-01-01 08:32:00
32.47403,32.47403,2017-01-01 08:33:00
32.474087,32.474087,2017-01-01 08:34:00
32.474026,32.474026,2017-01-01 08:35:00
32.474037,32.474037,2017-01-01 08:36:00
32.474026,32.474026,2017-01-01 08:37:00
32.474037,32.474037,2017-01-01 08:38:00
32.474037,32.474037,2017-01-01 08:39:00
32.47403,32.47403,2017-01-01 08:40:00
32.474003,32.474003,2017-01-01 08:41:00
32.473972,32.473972,2017-01-01 08:42:00
32.474037,32.474037,2017-01-01 08:43:00
32.474045000000004,32.474045000000004,2017-01-01 08:44:00
32.473988,32.473988,2017-01-01 08:45:00
32.47403,32.47403,2017-01-01 08:46:00
32.474037,32.474037,2017-01-01 08:47:00
32.474037,32.474037,2017-01-01 08:48:00
32.474056,32.474056,2017-01-01 08:49:00
32.474068,32.474068,2017-01-01 08:50:00
32.474037,32.474037,2017-01-01 08:51:00
32.474041,32.474041,2017-01-01 08:52:00
32.474049,32.474049,2017-01-01 08:53:00
32.47403,32.47403,2017-01-01 08:54:00
32.474033,32.474033,2017-01-01 08:55:00
32.474052,32.474052,2017-01-01 08:56:00
32.47403,32.47403,2017-01-01 08:57:00
32.473995,32.473995,2017-01-01 08:58:00
32.474007,32.474007,2017-01-01 08:59:00
33.50404,33.50404,2017-01-01 09:00:00
33.504055,33.504055,2017-01-01 09:01:00
33.504051000000004,33.504051000000004,2017-01-01 09:02:00
33.504063,33.504063,2017-01-01 09:03:00
33.50407,33.50407,2017-01-01 09:04:00
33.504082000000004,33.504082000000004,2017-01-01 09:05:00
33.504059000000005,33.504059000000005,2017-01-01 09:06:00
33.504063,33.504063,2017-01-01 09:07:00
33.504055,33.504055,2017-01-01 09:08:00
33.504063,33.504063,2017-01-01 09:09:00
33.504055,33.504055,2017-01-01 09:10:00
33.504086,33.504086,2017-01-01 09:11:00
33.50404,33.50404,2017-01-01 09:12:00
33.504051000000004,33.504051000000004,2017-01-01 09:13:00
33.504051000000004,33.504051000000004,2017-01-01 09:14:00
33.504036,33.504036,2017-01-01 09:15:00
33.504044,33.504044,2017-01-01 09:16:00
33.504047,33.504047,2017-01-01 09:17:00
33.504032,33.504032,2017-01-01 09:18:00
33.504059000000005,33.504059000000005,2017-01-01 09:19:00
33.504047,33.504047,2017-01-01 09:20:00
33.504036,33.504036,2017-01-01 09:21:00
33.504082000000004,33.504082000000004,2017-01-01 09:22:00
33.504082000000004,33.504082000000004,2017-01-01 09:23:00
33.50404,33.50404,2017-01-01 09:24:00
33.504047,33.504047,2017-01-01 09:25:00
33.504028000000005,33.504028000000005,2017-01-01 09:26:00
33.504082000000004,33.504082000000004,2017-01-01 09:27:00
33.504063,33.504063,2017-01-01 09:28:00
33.504028000000005,33.504028000000005,2017-01-01 09:29:00
33.504074,33.504074,2017-01-01 09:30:00
33.504047,33.504047,2017-01-01 09:31:00
33.50407,33.50407,2017-01-01 09:32:00
33.504082000000004,33.504082000000004,2017-01-01 09:33:00
33.504078,33.504078,2017-01-01 09:34:00
33.50407,33.50407,2017-01-01 09:35:00
33.504074,33.504074,2017-01-01 09:36:00
33.504028000000005,33.504028000000005,2017-01-01 09:37:00
33.504028000000005,33.504028000000005,2017-01-01 09:38:00
33.504013,33.504013,2017-01-01 09:39:00
33.504093,33.504093,2017-01-01 09:40:00
33.504082000000004,33.504082000000004,2017-01-01 09:41:00
33.50407,33.50407,2017-01-01 09:42:00
33.504059000000005,33.504059000000005,2017-01-01 09:43:00
33.504101,33.504101,2017-01-01 09:44:00
33.504025,33.504025,2017-01-01 09:45:00
33.504044,33.504044,2017-01-01 09:46:00
33.504082000000004,33.504082000000004,2017-01-01 09:47:00
